date,day,week,ipeds_id,university,enrollment,url,total_tests,positive_tests
2020-09-15,Tuesday,6,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1096.0,1.0
2020-09-16,Wednesday,6,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,2.0,0.0
2020-09-17,Thursday,6,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1132.0,1.0
2020-09-18,Friday,6,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,272.0,0.0
2020-09-19,Saturday,7,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-09-20,Sunday,7,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,960.0,0.0
2020-09-21,Monday,7,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,325.0,0.0
2020-09-22,Tuesday,7,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1128.0,0.0
2020-09-23,Wednesday,7,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,2.0,0.0
2020-09-24,Thursday,7,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1144.0,0.0
2020-09-25,Friday,7,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,264.0,0.0
2020-09-26,Saturday,8,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-09-27,Sunday,8,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,962.0,1.0
2020-09-28,Monday,8,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,338.0,0.0
2020-09-29,Tuesday,8,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1134.0,0.0
2020-09-30,Wednesday,8,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,3.0,0.0
2020-10-01,Thursday,8,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1149.0,0.0
2020-10-02,Friday,8,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,250.0,0.0
2020-10-03,Saturday,9,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-10-04,Sunday,9,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,962.0,0.0
2020-10-05,Monday,9,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,351.0,0.0
2020-10-06,Tuesday,9,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1102.0,0.0
2020-10-07,Wednesday,9,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,3.0,0.0
2020-10-08,Thursday,9,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1152.0,1.0
2020-10-09,Friday,9,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,279.0,0.0
2020-10-10,Saturday,10,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,0.0,0.0
2020-10-11,Sunday,10,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,958.0,0.0
2020-10-12,Monday,10,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,335.0,0.0
2020-10-13,Tuesday,10,164465,Amherst College,1855,https://www.amherst.edu/news/covid-19/dashboard/accessible,1102.0,0.0
