date,day,week,university,enrollment,url,total_tests,positive_tests
2020-09-22,Tuesday,7,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-09-23,Wednesday,7,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-09-24,Thursday,7,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-09-25,Friday,7,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-09-26,Saturday,8,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-09-27,Sunday,8,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-09-28,Monday,8,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-09-29,Tuesday,8,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-09-30,Wednesday,8,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-01,Thursday,8,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-02,Friday,8,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-03,Saturday,9,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-04,Sunday,9,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-05,Monday,9,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-06,Tuesday,9,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-07,Wednesday,9,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-08,Thursday,9,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-09,Friday,9,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-10,Saturday,10,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-11,Sunday,10,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-12,Monday,10,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-13,Tuesday,10,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-14,Wednesday,10,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-15,Thursday,10,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-16,Friday,10,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-17,Saturday,11,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-18,Sunday,11,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-19,Monday,11,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-20,Tuesday,11,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-21,Wednesday,11,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-22,Thursday,11,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-23,Friday,11,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-24,Saturday,12,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-25,Sunday,12,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-26,Monday,12,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-27,Tuesday,12,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-28,Wednesday,12,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-29,Thursday,12,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-30,Friday,12,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-10-31,Saturday,13,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-01,Sunday,13,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-02,Monday,13,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-03,Tuesday,13,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-04,Wednesday,13,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-05,Thursday,13,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-06,Friday,13,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-07,Saturday,14,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-08,Sunday,14,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-09,Monday,14,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-10,Tuesday,14,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-11,Wednesday,14,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-12,Thursday,14,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-13,Friday,14,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-14,Saturday,15,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-15,Sunday,15,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-16,Monday,15,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-17,Tuesday,15,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-18,Wednesday,15,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-19,Thursday,15,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-20,Friday,15,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-21,Saturday,16,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-22,Sunday,16,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-23,Monday,16,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-24,Tuesday,16,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-25,Wednesday,16,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-26,Thursday,16,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-27,Friday,16,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-28,Saturday,17,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-29,Sunday,17,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-11-30,Monday,17,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-01,Tuesday,17,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-02,Wednesday,17,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-03,Thursday,17,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-04,Friday,17,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-05,Saturday,18,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-06,Sunday,18,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-07,Monday,18,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-08,Tuesday,18,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-09,Wednesday,18,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-10,Thursday,18,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-11,Friday,18,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-12,Saturday,19,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-13,Sunday,19,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-14,Monday,19,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-15,Tuesday,19,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-16,Wednesday,19,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
2020-12-17,Thursday,19,Berklee College of Music,6439,https://www.berklee.edu/btb/dashboard,0.0,0.0
